Name,Address,City,County,State,Type Detailed,Population Count,Facility Operator,Facility Owner,Per Diem Rate Detailed,Last Inspection Standard,Last Inspection Rating - Final
BEDFORD HEIGHTS CITY JAIL,5661 PERKINS ROAD,BEDFORD HTS,CUYAHOGA,OH,IGSA,0,CITY,CITY,$65,NDS,Acceptable
BEDFORD MUNICIPAL DETENTION CENTER,2121 L DON DODSON DRIVE,BEDFORD,TARRANT,TX,IGSA,9,CITY,CITY,$51.12,NDS,Acceptable
BERGEN COUNTY JAIL,160 SOUTH RIVER STREET,HACKENSACK,BERGEN,NJ,USMS IGA,109,COUNTY (SHERIFF),COUNTY,$110,NDS,Pending
BOONE COUNTY JAIL,3020 CONRAD LANE,BURLINGTON,BOONE,KY,USMS IGA,144,COUNTY (JAILER),COUNTY,$55,NDS,Acceptable
BRISTOL COUNTY DETENTION CENTER,400 FAUNCE CORNER ROAD,NORTH DARTMOUTH,BRISTOL,MA,IGSA,137,COUNTY (SHERIFF),COUNTY,$98,PBNDS 2008,Meets Standard
BROOKS COUNTY DETENTION CENTER,901 COUNTY ROAD 201,FALFURRIAS,BROOKS,TX,USMS IGA,0,GEO,COUNTY,$63,NDS,Acceptable
BROWARD TRANSITIONAL CENTER,3900 NORTH POWERLINE ROAD,POMPANO BEACH,BROWARD,FL,CDF,569,GEO,PRIVATE,"$1,900,620 (flat fee); + $7.21 per diem",PBNDS 2011,Pending
BUFFALO (BATAVIA) SERVICE PROCESSING CENTER,4250 FEDERAL DRIVE,BATAVIA,GENESEE,NY,SPC,536,VM-BG (GUARD),ICE,"400 (GM); $119.33 (1-400), $17.29 (401-650)",PBNDS 2011,Meets Standard
BURNET COUNTY JAIL,JAIL ADMINISTRATOR,BURNET,BURNET,TX,IGSA,5,COUNTY (SHERIFF),COUNTY,$59.26,NDS,Acceptable
BUTLER COUNTY JAIL,705 HANOVER STREET,HAMILTON,BUTLER,OH,IGSA,67,COUNTY (SHERIFF),COUNTY,$53.2,NDS,Acceptable
BUTLER COUNTY JAIL,701 SE STONE ROAD,EL DORADO,BUTLER,KS,USMS IGA,4,COUNTY (SHERIFF),COUNTY,$60,NDS,Acceptable
CABARRUS COUNTY JAIL,30 CORBAN AVENUE SE,CONCORD,CABARRUS,NC,IGSA,0,COUNTY (SHERIFF),COUNTY,$57.75,NDS,Acceptable
CALDWELL COUNTY DETENTION CENTER,280 WEST MAIN STREET,KINGSTON,CALDWELL,MO,IGSA,17,GEO,COUNTY,$65.97,NDS,Acceptable
CALHOUN COUNTY CORRECTIONAL CENTER,185 EAST MICHIGAN AVENUE,BATTLE CREEK,BRANCH,MI,IGSA,164,COUNTY (SHERIFF),COUNTY,"75 (GM for DEAPDMI and CALHOMI combined); $72.00 (1-75), $40.00 (76-125), $64.27 (126+)",NDS,Acceptable
CAMBRIA COUNTY JAIL,425 MANOR DRIVE,EBENSBURG,CAMBRIA,PA,USMS IGA,0,COUNTY (PRISON),COUNTY,$51.53,NDS,Acceptable
CARVER COUNTY JAIL,600 EAST FOURTH ST.,CHASKA,CARVER,MN,IGSA,24,COUNTY (SHERIFF),COUNTY,$70.00  Adult $145.00 Juvenile,NDS,Pending
CASCADE COUNTY JAIL (MONTANA),3800 ULM NORTH FRONTAGE ROAD,GREAT FALLS,CASCADE,MT,USMS IGA,0,COUNTY (SHERIFF),COUNTY,$75,NDS,Acceptable
CASS COUNTY JAIL,336 MAIN STREET,PLATTSMOUTH,CASS,NE,USMS IGA,13,COUNTY (SHERIFF),COUNTY,$66.51,NDS,Pending
CCA CENTRAL ARIZONA DETENTION CENTER,1155 NORTH PINAL PARKWAY,FLORENCE,PINAL,AZ,USMS IGA,0,CCA,CCA,$105.17,PBNDS 2008,Pending
"CCA, FLORENCE CORRECTIONAL CENTER",1100 BOWLING ROAD,FLORENCE,PINAL,AZ,USMS IGA,493,CCA,CCA,$105.17,PBNDS 2008,Pending
CENTRAL TEXAS DETENTION  FACILITY,218 S. LAREDO ST,SAN ANTONIO,BEXAR,TX,USMS IGA,0,GEO,COUNTY,$58,NDS,Acceptable
CHARLESTON COUNTY DETENTION CENTER,3841 LEEDS AVENUE,NORTH CHARLESTON,CHARLESTON,SC,USMS IGA,2,COUNTY (SHERIFF),COUNTY,$55,NDS,Acceptable
CHASE COUNTY DETENTION FACILITY,301 SOUTH WALNUT STREET,COTTONWOOD FALLS,CHASE,KS,IGSA,25,COUNTY (SHERIFF),COUNTY,$48.5,NDS,Acceptable
CHAUTAUQUA COUNTY JAIL,15 E. CHAUTAUQUA STREET,MAYVILLE,CHAUTAUQUA,NY,IGSA,10,COUNTY (SHERIFF),COUNTY,$94,NDS,Acceptable
CHIPPEWA COUNTY SSM,325 COURT STREET,SAULT SAINTE MARIE,CHIPPEWA,MI,IGSA,9,COUNTY (SHERIFF),COUNTY,$56.69,NDS,Acceptable
CHRISTIAN COUNTY JAIL,110 WEST ELM,OZARK,CHRISTIAN,MO,IGSA,8,COUNTY (SHERIFF),COUNTY,$62.43,NDS,Acceptable
CLAY COUNTY JAIL,611 EAST JACKSON STREET,BRAZIL,CLAY,IN,USMS IGA,38,COUNTY (SHERIFF),COUNTY,$45,PBNDS 2008,Meets Standard
CLINTON COUNTY CORRECTIONAL FACILITY,419 SHOEMAKER ROAD,LOCK HAVEN,CLINTON,PA,USMS IGA,5,COUNTY (CORRECTIONS),COUNTY,$67,NDS,Pending
CLINTON COUNTY JAIL,25 MCCARTHY DRIVE,PLATTSBURGH,CLINTON,NY,USMS IGA,0,COUNTY (SHERIFF),COUNTY,$102,NDS,Acceptable
COASTAL BEND DETENTION FACILITY,4909 FM (FARM TO MARKET) 2826,ROBSTOWN,NUECES,TX,USMS IGA,0,GEO,GEO,$66.56,PBNDS 2008,Meets Standard
COBB COUNTY JAIL,1825 COUNTY SERVICES PARKWAY,MARIETTA,COBB,GA,IGSA,0,COUNTY (SHERIFF),COUNTY,$42.58,NDS,Acceptable
COCONINO COUNTY DETENTION FACILITY,952 E. SAW MILL ROAD,FLAGSTAFF,COCONINO,AZ,USMS IGA,0,COUNTY (SHERIFF),COUNTY,$60,NDS,Acceptable
COLLIER COUNTY NAPLES JAIL CENTER,3301 TAMIAMI TRAIL EAST,NAPLES,COLLIER,FL,IGSA,2,COUNTY (SHERIFF),COUNTY,$71,NDS,Acceptable
CONTRA COSTA COUNTY JAIL WEST,5555 GIANT HIGHWAY,RICHMOND,CONTRA COSTA,CA,USMS IGA,171,COUNTY (SHERIFF),OFDT,$82,NDS,Pending
CUMBERLAND COUNTY JAIL,50 COUNTY WAY,PORTLAND,CUMBERLAND,ME,USMS IGA,0,COUNTY (SHERIFF),COUNTY,$130,NDS,Acceptable
DAKOTA COUNTY JAIL,1601 BROADWAY,DAKOTA CITY,DAKOTA,NE,USMS IGA,0,COUNTY (SHERIFF),COUNTY,$65,NDS,Acceptable
DALE G. HAILE DETENTION CENTER,1115 ALBANY,CALDWELL,CANYON,ID,IGSA,0,COUNTY (SHERIFF),COUNTY,$54,NDS,Acceptable
DAVIDSON COUNTY SHERIFF,448 2ND AVENUE,NASHVILLE,DAVIDSON,TN,IGSA,4,COUNTY (SHERIFF),COUNTY,$61,NDS,Acceptable
DEARBORN POLICE DEPARTMENT,16099 MICHIGAN AVE,DEARBORN,WAYNE,MI,IGSA,1,CITY,CITY,"75 (GM for DEAPDMI and CALHOMI combined); $72.00 (1-75), $40.00 (76-125), $64.27 (126+)",NDS,Acceptable
DEKALB COUNTY DETENTION CENTER,2801 JORDAN ROAD,FORT PAYNE,DEKALB,AL,USMS IGA,23,COUNTY (SHERIFF),COUNTY,$47,NDS,Pending
DELANEY HALL DETENTION FACILITY,451 DOREMUS AVENUE,NEWARK,NEWARK,NJ,IGSA,292,CEC,PRIVATE,$108,PBNDS 2011,Meets Standard
DELAWARE CO JAIL (GEORGE W. HILL),500 CHAYNEY ROAD,THORNTON,DELAWARE,PA,IGSA,0,COUNTY,,$80.87,NDS,Pending
DENVER CONTRACT DETENTION FACILITY,3130 N. Oakland St.,AURORA,ARAPAHOE,CO,CDF,372,GEO,PRIVATE,"350 (GM); $140.23 (1-350), $20.31 (351+)",PBNDS 2011,Pending
DODGE COUNTY JAIL,215 WEST CENTRAL STREET,JUNEAU,DODGE,WI,USMS IGA,206,COUNTY (SHERIFF),COUNTY,$75,NDS,Acceptable
DOUGLAS COUNTY DEPARTMENT OF CORRECTIONS,710 SOUTH 17TH ST,OMAHA,DOUGLAS,NE,IGSA,59,COUNTY (CORRECTIONS),COUNTY,$84,NDS,Pending
EAST HIDALGO DETENTION CENTER,1330 HIGHWAY 107,LA VILLA,HIDALGO,TX,USMS IGA,44,GEO,COUNTY,$59.26,NDS,Pending
EASTERN REGIONAL JAIL,1406 CHARLES TOWN ROAD,MARTINSBURG,BERKELEY,WV,USMS IGA,0,COUNTY (CORRECTIONS),RJA,$56,NDS,Acceptable
EL PASO COUNTY CRIMINAL JUSTICE CENTER,2739 EAST LAS VEGAS,COLORADO SPRING,EL PASO,CO,IGSA,0,COUNTY (SHERIFF),COUNTY,$62.4,NDS,Acceptable
EL PASO SERVICE PROCESSING CENTER,8915 MONTANA AVE.,EL PASO,EL PASO,TX,SPC,761,DOYON-AKAL (GUARD),ICE,"500 (GM); $168.84 (1-500), $9.87 (501+)",PBNDS 2011,Pending
ELGIN POLICE DEPARTMENT,151 DOUGLAS AVENUE,ELGIN,KANE,IL,IGSA,0,CITY,CITY,$50,NDS,Acceptable
ELIZABETH CONTRACT DETENTION FACILITY,625 EVANS STREET,ELIZABETH,UNION,NJ,CDF,303,CCA,PRIVATE,"285 (GM); $130.81 (1-285), $129.57 (286-300), $32.57 (301+)",PBNDS 2011,Pending
ELMORE COUNTY JAIL,2255 E. 8TH NORTH,MOUNTAIN HOME,ELMORE,ID,USMS IGA,5,COUNTY (SHERIFF),COUNTY,$60,NDS,Acceptable
eloy detention center,1705 EAST HANNA RD.,ELOY,PINAL,AZ,DIGSA,1496,CCA,CITY,$69.97,PBNDS 2011,Pending
ERIE COUNTY JAIL,1618 ASH STREET,ERIE,ERIE,PA,USMS IGA,6,COUNTY (CORRECTIONS),COUNTY,$75,NDS,Acceptable
ESSEX COUNTY JAIL,354 DOREMUS AVENUE,NEWARK,ESSEX,NJ,IGSA,453,COUNTY (CORRECTIONS),COUNTY,$108,PBNDS 2011,Pending
ETOWAH COUNTY JAIL (ALABAMA),827 FORREST AVENUE,GADSDEN,ETOWAH,AL,USMS IGA,278,COUNTY (SHERIFF),COUNTY,$45,NDS,Pending
EULESS CITY JAIL,1102 W. EULESS BLVD.,EULESS,TARRANT,TX,IGSA,20,CITY,CITY,$55,NDS,Acceptable
FLORENCE SERVICE PROCESSING CENTER,3250 NORTH PINAL PARKWAY,FLORENCE,PINAL,AZ,SPC,360,ASSET (GUARD),ICE,"374 (GM for FLO and FSF combined); $222.05 (1-374), $0.00 (375-717)",PBNDS 2011,Pending
FORSYTH COUNTY JAIL,201 NORTH CHURCH STREET,WINSTON-SALEM,FORSYTH,NC,USMS IGA,0,COUNTY (SHERIFF),COUNTY,$62.22,NDS,Acceptable
FRANKLIN HOUSE OF CORRECTIONS,160 ELM STREET,GREENFIELD,FRANKLIN,MA,USMS IGA,70,COUNTY (SHERIFF),COUNTY,$86,NDS,Acceptable
FREDERICK COUNTY DETENTION CENTER,7300 MARCIE'S CHOICE LANE,FREDERICK,FREDERICK,MD,IGSA,52,COUNTY (SHERIFF),COUNTY,$83,NDS,Acceptable
FREEBORN COUNTY ADULT DETENTION CENTER,411 SOUTH BROADWAY AVENUE,ALBERT LEA,FREEBORN,MN,IGSA,62,COUNTY (SHERIFF),COUNTY,$77.02,NDS,Pending
GARVIN COUNTY DETENTION CENTER,201 WEST GRANT AVENUE,PAULS VALLEY,GARVIN,OK,IGSA,0,COUNTY (SHERIFF),COUNTY,$43.5,NDS,Acceptable
GASTON COUNTY JAIL,425 NORTH MARIETTA STREET,GASTONIA,GASTON,NC,IGSA,0,COUNTY (SHERIFF),COUNTY,$60,NDS,Acceptable
GEAUGA COUNTY JAIL,12450 MERRITT DR,CHARDON,GEAUGA,OH,USMS IGA,53,COUNTY (SHERIFF),COUNTY,$70,NDS,Pending
GLADES COUNTY DETENTION CENTER,1279 EAST SR 78,MOORE HAVEN,GLADES,FL,IGSA,103,COUNTY (SHERIFF),COUNTY,$80.64,NDS,Pending
GLENDALE POLICE DEPARTMENT,131 NORTH ISABEL STREET,GLENDALE,LOS ANGELES,CA,IGSA,0,CITY,CITY,$85,NDS,Acceptable
GRAND FORKS COUNTY CORRECTIONAL FACILITY,1701 NORTH WASHINGTON ST,GRAND FORKS,GRAND FORKS,ND,IGSA,0,COUNTY (SHERIFF),COUNTY,"$150.00 for UAC, $70.00 for Adult",NDS,Acceptable
GRAYSON COUNTY DETENTION CENTER,320 SHAW STATION ROAD,LEITCHFIELD,GRAYSON,KY,USMS IGA,0,COUNTY (JAILER),USM,$47,NDS,Acceptable
GRAYSON COUNTY JAIL,320 SHAW STATION ROAD,LEITCHFIELD,GRAYSON,KY,USMS IGA,0,COUNTY (JAILER),COUNTY,$47,NDS,Acceptable
HALL COUNTY DEPARTMENT OF CORRECTIONS,110 PUBLIC SAFETY DRIVE,GRAND ISLAND,HALL,NE,IGSA,0,COUNTY (SHERIFF),COUNTY,$63.01,NDS,Pending
HALL COUNTY JAIL,1700 BARBER ROAD,GAINESVILLE,HALL,GA,USMS IGA,0,COUNTY (SHERIFF),COUNTY,$53,NDS,Acceptable
HARDIN COUNTY JAIL,1116 14TH AVENUE,ELDORA,HARDIN,IA,IGSA,42,COUNTY (SHERIFF),COUNTY,$70,NDS,Pending
HENDERSON DETENTION CENTER,18 E BASIC ROAD,HENDERSON,CLARK,NV,USMS IGA,250,CITY,CITY,$106,NDS,Pending
HOUSTON CONTRACT DETENTION FACILITY,15850 EXPORT PLAZA DRIVE,HOUSTON,HARRIS,TX,CDF,945,CCA,PRIVATE,"750 (GM); $109.24 (1-750), $109.24 (750-900), $40.00 (901-1,000)",PBNDS 2011,Meets Standard
HOWARD COUNTY DETENTION CENTER,7301 WATERLOO ROAD,JESSUP,HOWARD,MD,IGSA,50,COUNTY (CORRECTIONS),COUNTY,$90,NDS,Acceptable
HUDSON COUNTY CORRECTIONAL CENTER,30-35 HACKENSACK AVE.,KEARNEY,HUDSON,NJ,USMS IGA,432,COUNTY (CORRECTIONS),COUNTY,$110,PBNDS 2008,Pending
IMMIGRATION CENTERS OF AMERICA FARMVILLE,508 WATERWORKS ROAD,FARMVILLE,PRINCE EDWARD,VA,DIGSA,583,ICA,COUNTY,"500 (GM); $125.39 (1-500), $43.69 (501+)",PBNDS 2011,Pending
IMPERIAL REGIONAL DETENTION FACILITY,1572 GATEWAY,CALEXICO,IMPERIAL,CA,DIGSA,705,M&TC,M&TC,"640 (GM); $141.66 (1-640), $96.43 (641+)",PBNDS 2011,Pending
IRWIN COUNTY DETENTION CENTER,132 COTTON DRIVE,OCILLA,IRWIN,GA,USMS IGA,466,LASALLE CORRECTIONS,COUNTY,$60.5,PBNDS 2008,Meets Standard
JACK HARWELL DETENTION CENTER,3101 MARLIN HWY,WACO,MCLENNAN,TX,USMS IGA,0,CEC,COUNTY,$69,NDS,Pending
JAMES A. MUSICK FACILITY,13502 MUSICK ROAD,IRVINE,ORANGE,CA,IGSA,287,COUNTY (SHERIFF),COUNTY,$118,PBNDS 2008,Pending
JEFFERSON COUNTY JAIL,219 EAST FREMONT AVE,RIGBY,JEFFERSON,ID,IGSA,1,COUNTY,COUNTY,$62.69,NDS,Acceptable
LASALLE DETENTION FACILITY,830 PINEHILL ROAD,JENA,LA SALLE,LA,DIGSA,976,GEO,PRIVATE,"1170 (GM for JENADLA and JENATLA combined); $70.19 (1 – 1170), $28.38 (1171 - 1560)",PBNDS 2011,Pending
JOE CORLEY DETENTION FACILITY,500 HILBIG RD.,CONROE,MONTGOMERY,TX,IGSA,773,GEO,COUNTY,$67.07,PBNDS 2011,Pending
JOHNSON COUNTY LAW ENFORCEMENT CENTER,1800 RIDGEMAR DRIVE,CLEBURNE,JOHNSON,TX,IGSA,221,CEC,COUNTY,$59.72,NDS,Acceptable
JOSEPHINE COUNTY JAIL,1901 NORTHEAST F STREET,GRANTS PASS,JOSEPHINE,OR,USMS IGA,0,COUNTY (SHERIFF),COUNTY,$100,NDS,Acceptable
KARNES COUNTY CORRECTIONAL CENTER,810 COMMERCE STREET,KARNES CITY,KARNES,TX,USMS IGA,0,GEO,COUNTY,$59.93,NDS,Acceptable
KENOSHA COUNTY DETENTION CENTER,4777 88TH AVENUE,KENOSHA,KENOSHA,WI,USMS IGA,120,COUNTY (SHERIFF),COUNTY,$70,NDS,Acceptable
KENT COUNTY JAIL,701 BALL AVENUE NORTHEAST,GRAND RAPIDS,KENT,MI,IGSA,0,COUNTY (SHERIFF),COUNTY,$85,NDS,Acceptable
KROME SERVICE PROCESSING CENTER,18201 SOUTHWEST 12TH STREET,MIAMI,MIAMI-DADE,FL,SPC,565,AKAL (GUARD),ICE,"450 (GM); $146.60 (1-450), $57.35 (451+)",PBNDS 2011,Meets Standard
LA PAZ COUNTY ADULT DETENTION FACILITY,1109 ARIZONA AVE.,PARKER,LA PAZ,AZ,USMS IGA,0,COUNTY (SHERIFF),COUNTY,$60,NDS,Acceptable
LA PLATA COUNTY JAIL,742 TURNER DRIVE,DURANGO,FLOYD,CO,USMS IGA,0,COUNTY (SHERIFF),COUNTY,$65,NDS,Acceptable
laredo contract detention facility,4702 EAST SAUNDERS STREET,LAREDO,WEBB,TX,USMS IGA,330,CCA,COUNTY,$59.79,NDS,Pending
LEXINGTON COUNTY JAIL,521 GIBSON ROAD,LEXINGTON,LEXINGTON,SC,USMS IGA,0,COUNTY (SHERIFF),COUNTY,$60.81,NDS,Acceptable
LINCOLN COUNTY DETENTION CENTER,65 BUSINESS PARK DRIVE,TROY,LINCOLN,MO,IGSA,6,COUNTY (SHERIFF),COUNTY,$50,NDS,Acceptable
LINN COUNTY JAIL,53 3RD AVENUE BRIDGE,CEDAR RAPIDS,LINN,IA,USMS IGA,4,COUNTY (SHERIFF),COUNTY,$64.7,NDS,Acceptable
LONOKE POLICE DEPARTMENT,204 W. FRONT STREET,LONOKE,LONOKE,AR,IGSA,0,CITY,CITY,$30,NDS,Acceptable
LUBBOCK COUNTY DETENTION CENTER,811 MAIN STREET,LUBBOCK,LUBBOCK,TX,USMS IGA,0,COUNTY (SHERIFF),USM,$65,NDS,Acceptable
MARION COUNTY JAIL,40 SOUTH ALABAMA STREET,INDIANAPOLIS,MARION,IN,USMS IGA,1,COUNTY (SHERIFF),COUNTY,$65,NDS,Acceptable
MARSHALL COUNTY JAIL,2369 JESSUP AVENUE,MARSHALLTOWN,MARSHALL,IA,USMS IGA,25,COUNTY (SHERIFF),COUNTY,$50,NDS,Pending
mchenry county jail,2200 NORTH SEMINARY AVENUE,WOODSTOCK,MCHENRY,IL,USMS IGA,172,COUNTY (SHERIFF),COUNTY,$95,NDS,Acceptable
MECKLENBURG COUNTY DETENTION CENTER NORTH,5234 SPECTOR DRIVE,CHARLOTTE,MECKLENBURG,NC,USMS IGA,0,COUNTY (SHERIFF),COUNTY,$124.78,NDS,Acceptable
MECKLENBURG COUNTY JAIL CENTRAL,801 EAST FOURTH ST,CHARLOTTE,MECKLENBURG,NC,USMS IGA,0,COUNTY,COUNTY,$109.7,NDS,Acceptable
MESA VERDE DETENTION FACILITY,425 GOLDEN STATE AVE,BAKERSFIELD,KERN,CA,DIGSA,356,GEO,CITY,"320 (GM); $119.95 (1-320), $94.95 (321-400)",PBNDS 2011,Pending
MILLER COUNTY JAIL,2300 EAST STREET,TEXARKANA,MILLER,AR,USMS IGA,0,COUNTY (SHERIFF),COUNTY,$52,NDS,Acceptable
MINICASSIA DETENTION CENTER,1415 ALBION AVENUE,BURLEY,CASSIA,ID,IGSA,3,COUNTY (SHERIFF),COUNTY,$45,NDS,Acceptable
MISSISSIPPI COUNTY DETENTION CENTER,200 WEST COMMERCIAL STREET,CHARLESTON,MISSISSIPPI,MO,IGSA,0,COUNTY (SHERIFF),COUNTY,$65.03,NDS,Acceptable
MOFFAT COUNTY JAIL,800 WEST 1ST STREET,CRAIG,MOFFAT,CO,IGSA,0,COUNTY (SHERIFF),COUNTY,$57.86,NDS,Acceptable
MONROE COUNTY DETENTION CENTER,5501 COLLEGE ROAD,KEY WEST,MONROE,FL,IGSA,47,COUNTY (SHERIFF),COUNTY,"50 (GM); $87.00 (1-50), $25.00 (51-72)",PBNDS 2008,Pending
MONROE COUNTY DETENTION-DORM,7000 EAST DUNBAR ROAD,MONROE,MONROE,MI,IGSA,37,COUNTY (SHERIFF),COUNTY,$74.96,NDS,Pending
MONTGOMERY CITY JAIL,320 NORTH RIPLEY STREET,MONTGOMERY,MONTGOMERY,AL,IGSA,0,CITY,CITY,$48,NDS,Acceptable
MONTGOMERY COUNTY CORRECTIONAL FACILITY,60 EAGLEVILLE ROAD,NORRISTOWN,MONTGOMERY,PA,USMS IGA,0,COUNTY (CORRECTIONS),COUNTY,$74.5,NDS,Acceptable
MONTGOMERY COUNTY JAIL,211 EAST THIRD STREET,MONTGOMERY CITY,MONTGOMERY,MO,IGSA,11,COUNTY (SHERIFF),COUNTY,$50,NDS,Acceptable
MONTGOMERY COUNTY MAC SIM BUTLER DETENTION FACILIT,250 MCDONOUGH STREET,MONTGOMERY,MONTGOMERY,AL,USMS IGA,0,COUNTY (SHERIFF),COUNTY,$48,NDS,Acceptable
MORGAN COUNTY ADULT DETENTION CENTER,211 EAST NEWTON STREET,VERSAILLES,MORGAN,MO,IGSA,23,COUNTY (SHERIFF),COUNTY,$65.1,NDS,Acceptable
MORROW COUNTY CORRECTIONAL FACILITY,101 HOME ROAD,MOUNT GILEAD,MORROW,OH,IGSA,23,COUNTY (SHERIFF),COUNTY,$53.64,NDS,Acceptable
NATRONA COUNTY JAIL,1100 BRUCE LANE,CASPER,NATRONA,WY,USMS IGA,0,COUNTY (SHERIFF),COUNTY,$75,NDS,Acceptable
NAVAJO COUNTY SHERIFF,100 EAST CARTER DRIVE,HOLBROOK,NAVAJO,AZ,IGSA,0,COUNTY (SHERIFF),COUNTY,$59,NDS,Acceptable
NEW HANOVER COUNTY JAIL,3950 JUVENILE RD,CASTLE HAYNE,NEW HANOVER,NC,IGSA,0,COUNTY (SHERIFF),COUNTY,$60,NDS,Acceptable
NOBLES COUNTY JAIL,1530 AIRPORT ROAD,WORTHINGTON,NICOLLET,MN,IGSA,2,COUNTY (SHERIFF),COUNTY,$89.69,NDS,Acceptable
NORFOLK COUNTY JAIL,200 WEST STREET,DEDHAM,NORFOLK,MA,USMS IGA,0,COUNTY (SHERIFF),COUNTY,$95,NDS,Acceptable
NORTHERN OREGON CORRECTIONAL FACILITY,211 WEBBER ROAD,THE DALLES,WASCO,OR,IGSA,5,COUNTY (JAILER),COUNTY,$61.12,NDS,Acceptable
NORTHERN REGIONAL JAIL,RD #2,MOUNDSVILLE,MARSHALL,WV,USMS IGA,0,COUNTY (CORRECTIONS),RJA,$65,NDS,Acceptable
Northwest Detention Center,1623 E. J STREET,TACOMA,PIERCE,WA,CDF,1501,GEO,GEO,B4,PBNDS 2011,Pending
NORTHWEST STATE CORRECTIONAL CENTER,3649 LOWER NEWTON ROAD,SWANTON,FRANKLIN,VT,USMS IGA,0,COUNTY (CORRECTIONS),COUNTY,$130,NDS,Acceptable
ONTARIO COUNTY JAIL,3045 COUNTY COMPLEX DRIVE,CANANDAIGUA,ONTARIO,NY,USMS IGA,0,COUNTY (SHERIFF),COUNTY,$80,NDS,Acceptable
ORANGE COUNTY CENTRAL WOMEN'S JAIL,550 NORTH FLOWER STREET,SANTA ANA,ORANGE,CA,IGSA,0,COUNTY (SHERIFF),COUNTY,$118,NDS,Acceptable
ORANGE COUNTY INTAKE RELEASE FACILITY,550 NORTH FLOWER STREET,SANTA ANA,ORANGE,CA,IGSA,1,COUNTY (SHERIFF),COUNTY,$118,NDS,Acceptable
ORANGE COUNTY JAIL,110 WELLS FARM ROAD,GOSHEN,ORANGE,NY,IGSA,166,COUNTY (CORRECTIONS),COUNTY,$133.93,NDS,Pending
ORANGE COUNTY JAIL,3855 SOUTH JOHN YOUNG PARKWAY,ORLANDO,ORANGE,FL,USMS IGA,0,COUNTY,COUNTY,$88,NDS,Acceptable
OTERO COUNTY PROCESSING CENTER,26 MCGREGOR RANGE ROAD,CHAPARRAL,DONA ANA,NM,DIGSA,944,M&TC,COUNTY,"$91.03 (1-850),  $18.72 (851-1000)",PBNDS 2011,Meets Standard
PENNINGTON COUNTY JAIL (SOUTH DAKOTA),307 SAINT JOSEPH STREET,RAPID CITY,PENNINGTON,SD,USMS IGA,0,COUNTY (SHERIFF),COUNTY,$75,NDS,Acceptable
PHELPS COUNTY JAIL,715 5TH AVENUE,HOLDREGE,PHELPS,NE,USMS IGA,4,COUNTY (SHERIFF),COUNTY,$55,NDS,Acceptable
PIKE COUNTY CORRECTIONAL FACILITY,175 PIKE COUNTY BOULEVARD,LORDS VALLEY,PIKE,PA,IGSA,147,COUNTY (SHERIFF),COUNTY,$82.31,PBNDS 2008,Pending
PINELLAS COUNTY JAIL,14400 49TH STREET NORTH,CLEARWATER,PINELLAS,FL,USMS IGA,0,COUNTY (SHERIFF),COUNTY,$80,NDS,Acceptable
PLATTE COUNTY DETENTION CENTER,415 THIRD STREET,PLATTE CITY,PLATTE,MO,IGSA,1,COUNTY (SHERIFF),COUNTY,$77.9,NDS,Acceptable
PLATTE COUNTY JAIL,850 MAPLE STREET,WHEATLAND,PLATTE,WY,USMS IGA,3,COUNTY (SHERIFF),COUNTY,$63,NDS,Acceptable
